1.024512095917174862e-08 3.173459488552299490e+01 3.197822610657738096e+01 3.150716322392569069e+01
1.188127401616505335e-08 3.165853756144600339e+01 3.202051291396737298e+01 3.153151932309897987e+01
1.377872187256356177e-08 3.158266252161012844e+01 3.206285563984621234e+01 3.155589425035789120e+01
1.597919349247871882e-08 3.150696932914035031e+01 3.210525435815836914e+01 3.158028802025718917e+01
1.853108198507882838e-08 3.154526326122843827e+01 3.214770914294617654e+01 3.160470064736283646e+01
2.149050887326384603e-08 3.158638122838150863e+01 3.219022006834981653e+01 3.162913214625210045e+01
2.492255832679952759e-08 3.162755279113176243e+01 3.223278720860755442e+01 3.165358253151352841e+01
2.890270850335572172e-08 3.166877801933887682e+01 3.227541063805577437e+01 3.167805181774688705e+01
3.351849147571953482e-08 3.171005698295359920e+01 3.231809043112922808e+01 3.170254001956328338e+01
3.887141825055735391e-08 3.174081859274401651e+01 3.236082666236103478e+01 3.172704715158510069e+01
4.507921121403412232e-08 3.174081859274401651e+01 3.240361940638291571e+01 3.174081859274401651e+01
5.227839310057503404e-08 3.174081859274401651e+01 3.244646873792524389e+01 3.174081859274401651e+01
6.062728942176775458e-08 3.174081859274401651e+01 3.244602832954905125e+01 3.174081859274401651e+01
7.030951038528310864e-08 3.174081859274401651e+01 3.242893157708712693e+01 3.174081859274401651e+01
8.153798887870689210e-08 3.174081859274401651e+01 3.241184383339944475e+01 3.174081859274401651e+01
9.455966332224294084e-08 3.174081859274401651e+01 3.239476509373903212e+01 3.174081859274401651e+01
1.096609083763036005e-07 3.174081859274401651e+01 3.237769535336142468e+01 3.174081859274401651e+01
1.271738329369382655e-07 3.174081859274401651e+01 3.236063460752460941e+01 3.174081859274401651e+01
1.474835839255836809e-07 3.174081859274401651e+01 3.234358285148913126e+01 3.175242113999401283e+01
1.710368164991970071e-07 3.174081859274401651e+01 3.232654008051797234e+01 3.181542427382202121e+01
1.983515169589353893e-07 3.174081859274401651e+01 3.230950628987666562e+01 3.187855241842810727e+01
2.300283943842911190e-07 3.174081859274401651e+01 3.229248147483321674e+01 3.194180582185855144e+01
2.667640915192467658e-07 3.174081859274401651e+01 3.227546563065809693e+01 3.200518473265186259e+01
3.093665054462896404e-07 3.174081859274401651e+01 3.225845875262433538e+01 3.206868939983963429e+01
3.587725549828888026e-07 3.174081859274401651e+01 3.224146083600737001e+01 3.213232007294766390e+01
4.160687855437437801e-07 3.174081859274401651e+01 3.222447187608518959e+01 3.219607700199677680e+01
4.825152646141014622e-07 3.174081859274401651e+01 3.232053307017429944e+01 3.283807377051162035e+01
5.595732933470419003e-07 3.184164517294639651e+01 3.249784213614034911e+01 3.379274248011103055e+01
6.489375437224314034e-07 3.203579523941466078e+01 3.267612391208014344e+01 3.477516532509173430e+01
