# Cross sections for CH+
# Converted from earlier Leiden database cross sections by Alan Heays 2016-10-25
# Photodissociation source: CH+ PHOTODISSOCIATION CF KIRBY ET AL. (1980)
# Lines represented with gaussian of width 1.0 nm FWHM
# wavelength: (nm)
# photoabsorption:    cross section (cm2)
# photodissociation:  cross section (cm2)
# 
# wavelength   photoabsorption photodissociation
  91.3000000       1.88906e-17       1.88906e-17
  91.4000000       1.91250e-17       1.91250e-17
  91.5000000       1.94375e-17       1.94375e-17
  91.6000000       1.97500e-17       1.97500e-17
  91.7000000       2.00625e-17       2.00625e-17
  91.8000000       2.03750e-17       2.03750e-17
  91.9000000       2.06875e-17       2.06875e-17
  92.0000000       2.09909e-17       2.09909e-17
  92.1000000       2.12400e-17       2.12400e-17
  92.2000000       2.14800e-17       2.14800e-17
  92.3000000       2.17200e-17       2.17200e-17
  92.4000000       2.19600e-17       2.19600e-17
  92.5000000       2.22000e-17       2.22000e-17
  92.6000000       2.24400e-17       2.24400e-17
  92.7000000       2.26800e-17       2.26800e-17
  92.8000000       2.29200e-17       2.29200e-17
  92.9000000       2.31600e-17       2.31600e-17
  93.0000000       2.34000e-17       2.34000e-17
  93.1000000       2.36400e-17       2.36400e-17
  93.2000000       2.38800e-17       2.38800e-17
  93.3000000       2.41200e-17       2.41200e-17
  93.4000000       2.43600e-17       2.43600e-17
  93.5000000       2.46000e-17       2.46000e-17
  93.6000000       2.48400e-17       2.48400e-17
  93.7000000       2.50800e-17       2.50800e-17
  93.8000000       2.53200e-17       2.53200e-17
  93.9000000       2.55600e-17       2.55600e-17
  94.0000000       2.57994e-17       2.57994e-17
  94.1000000       2.60350e-17       2.60350e-17
  94.2000000       2.62700e-17       2.62700e-17
  94.3000000       2.65050e-17       2.65050e-17
  94.4000000       2.67400e-17       2.67400e-17
  94.5000000       2.69750e-17       2.69750e-17
  94.6000000       2.72100e-17       2.72100e-17
  94.7000000       2.74450e-17       2.74450e-17
  94.8000000       2.76800e-17       2.76800e-17
  94.9000000       2.79150e-17       2.79150e-17
  95.0000000       2.81500e-17       2.81500e-17
  95.1000000       2.83850e-17       2.83850e-17
  95.2000000       2.86200e-17       2.86200e-17
  95.3000000       2.88550e-17       2.88550e-17
  95.4000000       2.90900e-17       2.90900e-17
  95.5000000       2.93250e-17       2.93250e-17
  95.6000000       2.95600e-17       2.95600e-17
  95.7000000       2.97950e-17       2.97950e-17
  95.8000000       3.00300e-17       3.00300e-17
  95.9000000       3.02650e-17       3.02650e-17
  96.0000000       3.04981e-17       3.04981e-17
  96.1000000       3.07200e-17       3.07200e-17
  96.2000000       3.09400e-17       3.09400e-17
  96.3000000       3.11600e-17       3.11600e-17
  96.4000000       3.13800e-17       3.13800e-17
  96.5000000       3.16000e-17       3.16000e-17
  96.6000000       3.18200e-17       3.18200e-17
  96.7000000       3.20400e-17       3.20400e-17
  96.8000000       3.22600e-17       3.22600e-17
  96.9000000       3.24800e-17       3.24800e-17
  97.0000000       3.27000e-17       3.27000e-17
  97.1000000       3.29200e-17       3.29200e-17
  97.2000000       3.31400e-17       3.31400e-17
  97.3000000       3.33600e-17       3.33600e-17
  97.4000000       3.35800e-17       3.35800e-17
  97.5000000       3.38000e-17       3.38000e-17
  97.6000000       3.40200e-17       3.40200e-17
  97.7000000       3.42400e-17       3.42400e-17
  97.8000000       3.44600e-17       3.44600e-17
  97.9000000       3.46800e-17       3.46800e-17
  98.0000000       3.48388e-17       3.48388e-17
  98.1000000       3.46300e-17       3.46300e-17
  98.2000000       3.43600e-17       3.43600e-17
  98.3000000       3.40900e-17       3.40900e-17
  98.4000000       3.38200e-17       3.38200e-17
  98.5000000       3.35500e-17       3.35500e-17
  98.6000000       3.32800e-17       3.32800e-17
  98.7000000       3.30100e-17       3.30100e-17
  98.8000000       3.27400e-17       3.27400e-17
  98.9000000       3.24700e-17       3.24700e-17
  99.0000000       3.22000e-17       3.22000e-17
  99.1000000       3.19300e-17       3.19300e-17
  99.2000000       3.16600e-17       3.16600e-17
  99.3000000       3.13900e-17       3.13900e-17
  99.4000000       3.11200e-17       3.11200e-17
  99.5000000       3.08500e-17       3.08500e-17
  99.6000000       3.05800e-17       3.05800e-17
  99.7000000       3.03100e-17       3.03100e-17
  99.8000000       3.00400e-17       3.00400e-17
  99.9000000       2.97700e-17       2.97700e-17
 100.0000000       2.94756e-17       2.94756e-17
 100.1000000       2.90350e-17       2.90350e-17
 100.2000000       2.85700e-17       2.85700e-17
 100.3000000       2.81050e-17       2.81050e-17
 100.4000000       2.76400e-17       2.76400e-17
 100.5000000       2.71750e-17       2.71750e-17
 100.6000000       2.67100e-17       2.67100e-17
 100.7000000       2.62450e-17       2.62450e-17
 100.8000000       2.57800e-17       2.57800e-17
 100.9000000       2.53150e-17       2.53150e-17
 101.0000000       2.48500e-17       2.48500e-17
 101.1000000       2.43850e-17       2.43850e-17
 101.2000000       2.39200e-17       2.39200e-17
 101.3000000       2.34550e-17       2.34550e-17
 101.4000000       2.29900e-17       2.29900e-17
 101.5000000       2.25250e-17       2.25250e-17
 101.6000000       2.20600e-17       2.20600e-17
 101.7000000       2.15950e-17       2.15950e-17
 101.8000000       2.11300e-17       2.11300e-17
 101.9000000       2.06650e-17       2.06650e-17
 102.0000000       2.01975e-17       2.01975e-17
 102.1000000       1.97150e-17       1.97150e-17
 102.2000000       1.92300e-17       1.92300e-17
 102.3000000       1.87450e-17       1.87450e-17
 102.4000000       1.82600e-17       1.82600e-17
 102.5000000       1.77750e-17       1.77750e-17
 102.6000000       1.72900e-17       1.72900e-17
