##########################
# Data rrec from the subroutine written by D. A. Verner
# that calculates rates of radiative recombination for ions
# with the following fits:
# ions of C, N, O, Ne - Pequignot et al. 1991, A&A, 251, 680,
#    refitted by Verner & Ferland formula to ensure correct asymptotes
# Fe XVII-XXIII - Arnaud & Raymond, 1992, ApJ, 398, 394
# Fe I-XV - refitted by Verner & Ferland formula to ensure correct asymptotes
# Other ions of Mg, Si, S, Ar, Ca, Fe, Ni - 
#                      - Shull & Van Steenberg, 1982, ApJS, 48, 95
# Other ions of Na, Al - Landini & Monsignori Fossi, 1990, A&AS, 82, 229
# Other ions of F, P, Cl, K, Ti, Cr, Mn, Co (excluding Ti I-II, Cr I-IV,
# Mn I-V, Co I)        - Landini & Monsignori Fossi, 1991, A&AS, 91, 183
# All other species    - interpolations of the power-law fits
# see http://www.pa.uky.edu/~verner/fortran.html
##########################

16 10 2.700e-11 0.7330
17 10 3.711e-11 0.7641
18 10 4.900e-11 0.8010
19 10 6.444e-11 0.8175
20 10 8.510e-11 0.8200
21 10 1.170e-10 0.8220
22 10 1.494e-10 0.8242
23 10 2.010e-10 0.8280
24 10 2.525e-10 0.8311
25 10 3.177e-10 0.8341
27 10 4.552e-10 0.8364
28 10 5.250e-10 0.8360
29 10 5.950e-10 0.8360
30 10 6.650e-10 0.8350
12 12 1.400e-13 0.8550
13 12 7.197e-13 0.7697
14 12 3.700e-12 0.6930
15 12 7.980e-12 0.6829
16 12 1.200e-11 0.7010
17 12 1.800e-11 0.7232
18 12 2.690e-11 0.7440
19 12 3.748e-11 0.7628
20 12 5.040e-11 0.7800
21 12 7.240e-11 0.7950
22 12 9.440e-11 0.8107
23 12 1.350e-10 0.8220
24 12 1.751e-10 0.8340
25 12 2.298e-10 0.8417
27 12 3.461e-10 0.8469
28 12 4.030e-10 0.8460
29 12 4.600e-10 0.8450
30 12 5.170e-10 0.8440
13 13 3.980e-13 0.8019
14 13 1.000e-12 0.7860
15 13 2.558e-12 0.7629
16 13 5.700e-12 0.7550
17 13 1.011e-11 0.7703
18 13 1.580e-11 0.7930
