Al    13 13     6.0 1 0.228E-06 0.3870 0.25    1   20
Al 1+ 13 12    18.8 0 0.118E-06 2.2100 0.25    1   20
Al 2+ 13 11    28.5 1 0.440E-08 0.1060 0.24    2   20
Al 3+ 13 10   120.0 0 0.175E-07 0.8720 0.22    5   20
Al 4+ 13  9   153.8 1 0.261E-08 0.1590 0.31    7   20
Al 5+ 13  8   198.5 1 0.185E-08 0.1520 0.36   10   20
Al 6+ 13  7   241.4 1 0.114E-08 0.2280 0.29   10   20
Al 7+ 13  6   284.6 1 0.800E-09 0.4170 0.16   20   20
Al 8+ 13  5   390.2 1 0.583E-09 0.4970 0.23   20   20
Al 9+ 13  4   399.4 0 0.493E-09 0.7060 0.16   20   20
Al10+ 13  3   442.0 1 0.977E-10 0.2780 0.17   20   20
Al11+ 13  2  2086.6 0 0.394E-10 0.2860 0.36  100  100
Al12+ 13  1  2304.1 1 0.138E-10 0.8350 0.11  100  100
Si    14 14     8.2 1 0.188E-06 0.3760 0.25    1   20
Si 1+ 14 13    16.4 1 0.643E-07 0.6320 0.20    1   20
Si 2+ 14 12    33.5 1 0.201E-07 0.4730 0.22    2   20
Si 3+ 14 11    54.0 1 0.494E-08 0.1720 0.23    3   20
Si 4+ 14 10   166.8 1 0.176E-08 0.1020 0.31    7   20
Si 5+ 14  9   205.3 1 0.174E-08 0.1800 0.29   10   20
Si 6+ 14  8   246.5 1 0.123E-08 0.5180 0.07   10   20
Si 7+ 14  7   303.5 1 0.827E-09 0.2390 0.28   20   20
Si 8+ 14  6   351.1 1 0.601E-09 0.3050 0.25   20   20
Si 9+ 14  5   401.4 1 0.465E-09 0.6660 0.04   20   20
Si10+ 14  4   476.4 1 0.263E-09 0.6660 0.16   20   20
Si11+ 14  3   523.5 1 0.118E-09 0.7340 0.16   30   20
Si12+ 14  2  2437.7 0 0.336E-10 0.3360 0.37  100  100
Si13+ 14  1  2673.2 1 0.119E-10 0.9890 0.08  200  100
P     15 15    10.5 1 0.199E-06 0.5350 0.24    1   20
P  1+ 15 14    19.8 1 0.588E-07 0.5370 0.21    1   20
P  2+ 15 13    30.2 1 0.296E-07 0.8650 0.16    2   20
P  3+ 15 12    51.4 1 0.101E-07 0.5460 0.20    3   20
P  4+ 15 11    65.0 1 0.236E-08 0.1920 0.17    7   20
P  5+ 15 10   220.4 0 0.666E-08 1.0000 0.18   10   20
P  6+ 15  9   263.2 1 0.124E-08 0.2150 0.26   20   20
P  7+ 15  8   309.4 0 0.227E-08 0.7340 0.23   20   20
P  8+ 15  7   371.7 1 0.614E-09 0.2560 0.27   20   20
P  9+ 15  6   424.5 1 0.469E-09 0.3420 0.23   20   20
P 10+ 15  5   479.6 0 0.614E-09 0.3340 0.39   20   20
P 11+ 15  4   560.4 0 0.322E-09 0.8500 0.12   30   20
P 12+ 15  3   611.9 1 0.932E-10 0.7340 0.16   30   20
P 13+ 15  2  2816.9 0 0.379E-10 0.8050 0.22  200  100
P 14+ 15  1  3069.9 1 0.973E-11 0.9910 0.08  200  100
S     16 16    10.4 1 0.549E-07 0.1000 0.25    1   20
S  1+ 16 15    23.3 1 0.681E-07 0.6930 0.21    1   20
S  2+ 16 14    34.8 1 0.214E-07 0.3530 0.24    2   20
S  3+ 16 13    47.3 1 0.166E-07 1.0300 0.14    2   20
S  4+ 16 12    72.6 1 0.612E-08 0.5800 0.19    3   20
S  5+ 16 11    88.1 1 0.133E-08 0.0688 0.35   10   20
S  6+ 16 10   280.9 0 0.493E-08 1.1300 0.16   20   20
S  7+ 16  9   328.2 1 0.873E-09 0.1930 0.28   20   20
S  8+ 16  8   379.1 0 0.135E-08 0.4310 0.32   20   20
S  9+ 16  7   447.1 1 0.459E-09 0.2420 0.28   20   20
S 10+ 16  6   504.8 1 0.349E-09 0.3050 0.25   30   20
S 11+ 16  5   564.7 0 0.523E-09 0.4280 0.35   30   20
S 12+ 16  4   651.6 0 0.259E-09 0.8540 0.12   30   20
S 13+ 16  3   707.2 1 0.750E-10 0.7340 0.16   30   20
S 14+ 16  2  3223.9 0 0.267E-10 0.5720 0.28  200  100
S 15+ 16  1  3494.2 1 0.632E-11 0.5850 0.17  200  100
Cl    17 17    13.0 1 0.169E-06 0.4300 0.24    1   20
Cl 1+ 17 16    23.8 1 0.696E-07 0.6700 0.20    1   20
Cl 2+ 17 15    39.6 1 0.340E-07 0.8650 0.18    2   20
Cl 3+ 17 14    53.5 1 0.110E-07 0.3280 0.25    3   20
Cl 4+ 17 13    67.8 1 0.111E-07 1.3700 0.10    3   20
Cl 5+ 17 12    97.0 1 0.317E-08 0.3300 0.24    4   20
Cl 6+ 17 11   114.2 1 0.101E-08 0.1960 0.16   20   20
Cl 7+ 17 10   348.3 0 0.211E-08 0.3130 0.37   20   20
Cl 8+ 17  9   400.1 1 0.632E-09 0.1730 0.30   20   20
Cl 9+ 17  8   455.6 0 0.948E-09 0.3440 0.36   20   20
Cl10+ 17  7   529.3 1 0.369E-09 0.2730 0.26   30   20
Cl11+ 17  6   592.0 1 0.285E-09 0.3430 0.23   30   20
Cl12+ 17  5   656.7 0 0.481E-09 0.6580 0.27   30   20
Cl13+ 17  4   749.8 1 0.131E-09 0.6230 0.16   30   20
Cl14+ 17  3   809.4 1 0.613E-10 0.7360 0.16   40   20
Cl15+ 17  2  3658.4 0 0.190E-10 0.3790 0.36  200  100
Cl16+ 17  1  3946.3 1 0.514E-11 0.5530 0.18  200  100
Ar    18 18    15.8 1 0.599E-07 0.1360 0.26    1   20
Ar 1+ 18 17    27.6 1 0.607E-07 0.5440 0.21    2   20
Ar 2+ 18 16    40.9 1 0.343E-07 0.8340 0.17    2   20
Ar 3+ 18 15    52.3 0 0.300E-07 1.0300 0.25    3   20
Ar 4+ 18 14    75.0 1 0.873E-08 0.3660 0.31    3   20
Ar 5+ 18 13    91.0 1 0.578E-08 0.3140 0.34    4   20
Ar 6+ 18 12   124.3 1 0.298E-08 0.7030 0.16    5   20
Ar 7+ 18 11   143.5 1 0.725E-09 0.2070 0.15   20   20
Ar 8+ 18 10   422.4 1 0.140E-08 0.6960 0.13   20   20
Ar 9+ 18  9   478.7 1 0.478E-09 0.1640 0.31   20   20
Ar10+ 18  8   539.0 0 0.802E-09 0.4390 0.32   30   20
Ar11+ 18  7   618.3 1 0.288E-09 0.2590 0.27   30   20
Ar12+ 18  6   686.1 1 0.232E-09 0.3620 0.22   30   20
Ar13+ 18  5   755.7 0 0.333E-09 0.4120 0.36   40   20
Ar14+ 18  4   854.8 1 0.127E-09 0.9100 0.13   40   20
Ar15+ 18  3   918.0 1 0.521E-10 0.7810 0.15   40   20
Ar16+ 18  2  4120.7 0 0.166E-10 0.4350 0.33  200  100
Ar17+ 18  1  4426.2 1 0.432E-11 0.5540 0.18  200  100
K     19 19     4.3 1 0.202E-06 0.2720 0.31    1   20
K  1+ 19 18    31.6 1 0.401E-07 0.3710 0.22    2   20
K  2+ 19 17    45.8 1 0.150E-07 0.4330 0.21    2   20
K  3+ 19 16    60.9 1 0.194E-07 0.8890 0.16    3   20
K  4+ 19 15    82.7 1 0.695E-08 0.4940 0.18    4   20
K  5+ 19 14    99.4 1 0.411E-08 0.5400 0.17    4   20
K  6+ 19 13   117.6 1 0.223E-08 0.5190 0.16    5   20
K  7+ 19 12   154.7 1 0.215E-08 0.8280 0.14    7   20
K  8+ 19 11   175.8 0 0.161E-08 0.6420 0.13   20   20
K  9+ 19 10   504.0 1 0.107E-08 0.6950 0.13   30   20
K 10+ 19  9   564.7 1 0.378E-09 0.1730 0.30   30   20
K 11+ 19  8   629.4 0 0.624E-09 0.4180 0.33   30   20
K 12+ 19  7   714.6 1 0.229E-09 0.2450 0.28   30   20
K 13+ 19  6   786.6 1 0.186E-09 0.3440 0.23   40   20
K 14+ 19  5   861.1 0 0.269E-09 0.3960 0.37   40   20
K 15+ 19  4   968.0 1 0.106E-09 0.9120 0.13   40   20
K 16+ 19  3  1053.4 1 0.424E-10 0.7370 0.16   50  100
K 17+ 19  2  4610.9 0 0.138E-10 0.4160 0.34  200  100
K 18+ 19  1  4934.1 1 0.367E-11 0.5550 0.18  200  100
Ca    20 20     6.1 0 0.440E-06 0.8480 0.33    1   20
Ca 1+ 20 19    11.9 0 0.522E-07 0.1510 0.34    1   20
Ca 2+ 20 18    50.9 1 0.206E-07 0.4180 0.20    3   20
Ca 3+ 20 17    67.3 1 0.172E-07 0.6380 0.19    3   20
Ca 4+ 20 16    84.5 1 0.126E-07 1.0100 0.14    4   20
Ca 5+ 20 15   108.8 1 0.472E-08 0.5260 0.17    5   20
Ca 6+ 20 14   127.2 1 0.289E-08 0.5480 0.17    7   20
Ca 7+ 20 13   147.2 1 0.164E-08 0.5520 0.15    7   20
Ca 8+ 20 12   188.3 1 0.157E-08 0.7990 0.14   10   20
Ca 9+ 20 11   211.3 1 0.432E-09 0.2320 0.14   30   20
Ca10+ 20 10   591.9 0 0.947E-09 0.3110 0.38   30   20
Ca11+ 20  9   657.2 1 0.298E-09 0.1630 0.31   30   20
Ca12+ 20  8   726.6 0 0.478E-09 0.3590 0.36   30   20
Ca13+ 20  7   817.6 1 0.186E-09 0.2440 0.28   40   20
Ca14+ 20  6   894.5 1 0.156E-09 0.3640 0.22   40   20
Ca15+ 20  5   974.0 0 0.216E-09 0.3570 0.39   40   20
Ca16+ 20  4  1087.0 1 0.770E-10 0.6550 0.15   50  100
Ca17+ 20  3  1157.0 1 0.358E-10 0.7360 0.16   50  100
Ca18+ 20  2  5128.9 0 0.128E-10 0.5200 0.30  300  100
Ca19+ 20  1  5469.9 1 0.308E-11 0.5280 0.19  300  100
Sc    21 21     6.6 1 0.316E-06 0.2040 0.28    1   20
Sc 1+ 21 20    12.8 1 0.861E-07 0.1810 0.25    1   20
Sc 2+ 21 19    24.8 1 0.508E-07 0.3570 0.24    1   20
Sc 3+ 21 18    73.5 1 0.100E-07 0.4530 0.15    3   20
Sc 4+ 21 17    91.9 1 0.676E-08 0.4600 0.15    4   20
Sc 5+ 21 16   110.7 1 0.527E-08 0.5610 0.17    5   20
Sc 6+ 21 15   138.0 1 0.340E-08 0.5600 0.16    7   20
Sc 7+ 21 14   158.1 1 0.218E-08 0.6120 0.15    7   20
Sc 8+ 21 13   180.0 1 0.126E-08 0.6100 0.14   10   20
Sc 9+ 21 12   225.1 1 0.124E-08 0.8520 0.13   10   20
Sc10+ 21 11   249.8 1 0.362E-09 0.3490 0.05   30   20
Sc11+ 21 10   687.4 1 0.552E-09 0.3750 0.28   30   20
Sc12+ 21  9   756.7 1 0.564E-09 0.8730 0.15   40   20
Sc13+ 21  8   830.8 1 0.450E-09 1.0500 0.13   40   20
Sc14+ 21  7   927.5 1 0.273E-09 0.8660 0.15   40   20
Sc15+ 21  6  1009.0 1 0.156E-09 0.7150 0.17   50  100
Sc16+ 21  5  1094.0 0 0.181E-09 1.1400 0.36   50  100
Sc17+ 21  4  1213.0 1 0.429E-10 0.7840 0.15   50  100
Sc18+ 21  3  1288.0 0 0.221E-10 0.0270 0.82   70  100
Sc19+ 21  2  5674.9 1 0.451E-11 0.9180 0.04  300  100
Sc20+ 21  1  6033.8 0 0.203E-11 0.0170 0.70  300  100
Ti    22 22     6.8 1 0.160E-06 0.3600 0.28    1   20
Ti 1+ 22 21    13.6 0 0.214E-06 0.8800 0.28    1   20
Ti 2+ 22 20    27.5 1 0.285E-07 0.2270 0.21    2   20
Ti 3+ 22 19    43.3 1 0.348E-07 0.3900 0.23    2   20
Ti 4+ 22 18    99.3 1 0.100E-07 0.5790 0.18    4   20
Ti 5+ 22 17   119.5 1 0.701E-08 0.6380 0.17    5   20
Ti 6+ 22 16   140.8 1 0.495E-08 0.7170 0.16    7   20
Ti 7+ 22 15   170.4 1 0.299E-08 0.6930 0.17    7   20
Ti 8+ 22 14   192.1 1 0.210E-08 0.7220 0.16   10   20
Ti 9+ 22 13   215.9 1 0.162E-08 0.7650 0.14   10   20
Ti10+ 22 12   265.0 1 0.111E-08 0.8850 0.12   20   20
Ti11+ 22 11   291.5 0 0.909E-09 0.9720 0.06   30   20
Ti12+ 22 10   787.8 1 0.441E-09 0.3590 0.29   40   20
Ti13+ 22  9   863.1 1 0.439E-09 0.7810 0.17   40   20
Ti14+ 22  8   941.9 1 0.373E-09 1.0500 0.13   40   20
Ti15+ 22  7  1044.0 1 0.228E-09 0.8580 0.15   50  100
Ti16+ 22  6  1131.0 1 0.134E-09 0.7570 0.16   50  100
Ti17+ 22  5  1221.0 0 0.155E-09 1.1500 0.36   50  100
Ti18+ 22  4  1346.0 1 0.380E-10 0.8350 0.14   70  100
Ti19+ 22  3  1426.0 0 0.189E-10 0.0280 0.82   70  100
Ti20+ 22  2  6249.1 1 0.401E-11 0.9680 0.03  300  100
Ti21+ 22  1  6625.0 1 0.162E-11 0.6570 0.14  300  100
V     23 23     6.7 0 0.882E-06 0.3590 0.32    1   20
V  1+ 23 22    14.7 0 0.311E-06 0.4320 0.29    1   20
V  2+ 23 21    29.3 1 0.350E-07 0.2470 0.25    2   20
V  3+ 23 20    46.7 0 0.532E-07 1.1100 0.16    2   20
V  4+ 23 19    65.3 1 0.898E-08 0.1400 0.37    3   20
V  5+ 23 18   128.1 1 0.587E-08 0.5170 0.17    7   20
V  6+ 23 17   150.6 1 0.511E-08 0.6790 0.16    7   20
V  7+ 23 16   173.4 1 0.371E-08 0.7610 0.15    7   20
V  8+ 23 15   205.8 1 0.224E-08 0.7110 0.17   10   20
V  9+ 23 14   230.5 1 0.165E-08 0.7640 0.15   10   20
V 10+ 23 13   256.0 1 0.126E-08 0.7620 0.14   20   20
V 11+ 23 12   308.0 1 0.886E-09 0.8860 0.12   20   20
V 12+ 23 11   336.3 0 0.389E-09 0.1420 0.39   40   20
V 13+ 23 10   896.0 1 0.380E-09 0.4090 0.27   40   20
V 14+ 23  9   976.0 0 0.484E-09 0.1730 0.57   40   20
V 15+ 23  8  1060.0 1 0.249E-09 0.6500 0.14  200  100
V 16+ 23  7  1168.0 0 0.591E-09 1.6100 0.18  200  100
V 17+ 23  6  1260.0 0 0.502E-09 2.1200 0.15  200  100
V 18+ 23  5  1355.0 1 0.538E-10 0.1370 0.40  200  100
V 19+ 23  4  1486.0 1 0.556E-10 0.7080 0.10  200  100
V 20+ 23  3  1571.0 0 0.284E-10 0.0240 0.79  200  100
V 21+ 23  2  6851.3 0 0.254E-10 2.9200 0.09 1000  100
V 22+ 23  1  7246.1 0 0.132E-10 3.5100 0.07 1000  100
Cr    24 24     6.8 1 0.103E-06 0.2170 0.27    1   20
Cr 1+ 24 23    16.5 0 0.245E-06 0.3810 0.32    1   20
Cr 2+ 24 22    31.0 0 0.109E-06 0.5180 0.27    2   20
Cr 3+ 24 21    49.1 1 0.152E-07 0.1820 0.30    2   20
Cr 4+ 24 20    69.5 0 0.325E-07 1.3600 0.13    3   20
Cr 5+ 24 19    90.6 1 0.550E-08 0.1430 0.37    4   20
Cr 6+ 24 18   160.2 1 0.513E-08 0.6570 0.16    7   20
Cr 7+ 24 17   184.7 1 0.385E-08 0.7220 0.15   10   20
Cr 8+ 24 16   209.3 1 0.281E-08 0.7590 0.15   10   20
Cr 9+ 24 15   244.4 1 0.176E-08 0.7320 0.16   10   20
Cr10+ 24 14   271.0 1 0.130E-08 0.7640 0.15   20   20
Cr11+ 24 13   298.0 1 0.102E-08 0.8100 0.13   20   20
Cr12+ 24 12   354.8 1 0.719E-09 0.8870 0.12   20   20
Cr13+ 24 11   384.2 1 0.161E-09 0.1500 0.22   50   20
Cr14+ 24 10  1011.0 1 0.464E-09 0.9710 0.12   50  100
Cr15+ 24  9  1097.0 1 0.331E-09 0.9240 0.14   50  100
Cr16+ 24  8  1185.0 1 0.249E-09 0.9310 0.15   50  100
Cr17+ 24  7  1299.0 1 0.168E-09 0.9100 0.14   70  100
Cr18+ 24  6  1396.0 1 0.101E-09 0.8050 0.15   70  100
Cr19+ 24  5  1496.0 0 0.117E-09 1.2100 0.35   70  100
Cr20+ 24  4  1634.0 1 0.291E-10 0.8840 0.13   70  100
Cr21+ 24  3  1721.0 0 0.145E-10 0.0350 0.80   70  100
Cr22+ 24  2  7482.0 1 0.307E-11 0.9670 0.03  300  100
Cr23+ 24  1  7894.8 1 0.146E-11 0.1830 0.39 1000  100
Mn    25 25     7.4 1 0.856E-07 0.1320 0.26    1   20
Mn 1+ 25 24    15.6 0 0.118E-06 0.3590 0.19    2   20
Mn 2+ 25 23    33.7 0 0.854E-07 0.3970 0.32    2   20
Mn 3+ 25 22    51.2 1 0.180E-07 0.2720 0.18    3   20
Mn 4+ 25 21    72.4 1 0.822E-08 0.1610 0.32    3   20
Mn 5+ 25 20    95.0 0 0.215E-07 1.5400 0.11    4   20
Mn 6+ 25 19   119.3 1 0.365E-08 0.1470 0.37    5   20
Mn 7+ 25 18   194.5 1 0.391E-08 0.6990 0.15   10   20
Mn 8+ 25 17   221.8 1 0.292E-08 0.7190 0.15   10   20
Mn 9+ 25 16   248.3 1 0.223E-08 0.8060 0.14   10   20
Mn10+ 25 15   286.0 1 0.139E-08 0.7350 0.16   20   20
Mn11+ 25 14   314.4 1 0.104E-08 0.7610 0.15   20   20
Mn12+ 25 13   343.6 1 0.828E-09 0.8090 0.13   20   20
Mn13+ 25 12   403.0 1 0.560E-09 0.7870 0.14   20   20
Mn14+ 25 11   435.2 1 0.152E-09 0.2990 0.08   50   20
Mn15+ 25 10  1133.0 1 0.403E-09 1.0400 0.11   50  100
Mn16+ 25  9  1244.0 1 0.274E-09 0.9230 0.14   50  100
Mn17+ 25  8  1317.0 1 0.218E-09 0.9900 0.14   70  100
Mn18+ 25  7  1437.0 1 0.149E-09 0.9680 0.13   70  100
Mn19+ 25  6  1539.0 1 0.870E-10 0.8020 0.15   70  100
Mn20+ 25  5  1644.0 0 0.102E-09 1.2200 0.35   70  100
Mn21+ 25  4  1788.0 1 0.254E-10 0.8830 0.13  100  100
Mn22+ 25  3  1880.0 0 0.128E-10 0.0330 0.81  100  100
Mn23+ 25  2  8141.0 1 0.277E-11 1.0100 0.02  400  100
Mn24+ 25  1  8571.9 1 0.132E-11 0.2190 0.37 1000  100
Fe    26 26     7.9 0 0.252E-06 0.7010 0.25    1   20
Fe 1+ 26 25    16.2 1 0.221E-07 0.0330 0.45    1   20
Fe 2+ 26 24    30.6 0 0.410E-07 0.3660 0.17    2   20
Fe 3+ 26 23    54.8 0 0.353E-07 0.2430 0.39    3   20
Fe 4+ 26 22    75.0 1 0.104E-07 0.2850 0.17    3   20
Fe 5+ 26 21    99.0 1 0.123E-07 0.4110 0.21    4   20
Fe 6+ 26 20   125.0 1 0.947E-08 0.4580 0.21    5   20
Fe 7+ 26 19   151.1 1 0.471E-08 0.2800 0.28    7   20
Fe 8+ 26 18   233.6 1 0.302E-08 0.6970 0.15   10   20
Fe 9+ 26 17   262.1 1 0.234E-08 0.7640 0.14   20   20
Fe10+ 26 16   290.0 1 0.176E-08 0.8050 0.14   20   20
Fe11+ 26 15   331.0 1 0.114E-08 0.7730 0.15   20   20
Fe12+ 26 14   361.0 1 0.866E-09 0.8050 0.14   20   20
Fe13+ 26 13   392.0 1 0.661E-09 0.7620 0.14   20   20
Fe14+ 26 12   457.0 1 0.441E-09 0.6980 0.16   20   20
Fe15+ 26 11   489.3 1 0.118E-09 0.2110 0.15   70   20
Fe16+ 26 10  1262.0 1 0.361E-09 1.1600 0.09   70  100
Fe17+ 26  9  1360.0 1 0.245E-09 0.9780 0.13   70  100
Fe18+ 26  8  1470.0 1 0.187E-09 0.9880 0.14   70  100
Fe19+ 26  7  1582.0 1 0.133E-09 1.0300 0.12   70  100
Fe20+ 26  6  1690.0 1 0.784E-10 0.8480 0.14   70  100
Fe21+ 26  5  1800.0 0 0.890E-10 1.2000 0.35  100  100
Fe22+ 26  4  1960.0 1 0.229E-10 0.9360 0.12  100  100
Fe23+ 26  3  2046.0 0 0.112E-10 0.0340 0.81  100  100
Fe24+ 26  2  8828.0 1 0.246E-11 1.0200 0.02  400  100
Fe25+ 26  1  9277.7 1 0.979E-12 0.6640 0.14  400  100
Co    27 27     7.9 1 0.889E-07 0.1270 0.24    1   20
Co 1+ 27 26    17.1 1 0.565E-07 0.1940 0.23    1   20
Co 2+ 27 25    33.5 1 0.306E-07 0.2010 0.22    2   20
Co 3+ 27 24    51.3 0 0.227E-07 0.5740 0.10    4   20
Co 4+ 27 23    79.5 0 0.193E-07 0.1950 0.42    4   20
Co 5+ 27 22   102.0 0 0.127E-07 0.1260 0.47    5   20
Co 6+ 27 21   129.0 1 0.358E-08 0.1940 0.29    7   20
Co 7+ 27 20   158.0 0 0.117E-07 1.9800 0.07    7   20
Co 8+ 27 19   186.1 1 0.178E-08 0.1120 0.42   10   20
Co 9+ 27 18   275.0 1 0.241E-08 0.7390 0.14   20   20
Co10+ 27 17   305.0 1 0.186E-08 0.7620 0.14   20   20
Co11+ 27 16   336.0 1 0.141E-08 0.8040 0.14   20   20
Co12+ 27 15   379.0 1 0.954E-09 0.8130 0.14   20   20
Co13+ 27 14   411.0 1 0.712E-09 0.8030 0.14   20   20
Co14+ 27 13   444.0 1 0.534E-09 0.7180 0.15   20   20
Co15+ 27 12   512.0 1 0.362E-09 0.6580 0.17   30   20
Co16+ 27 11   546.6 1 0.105E-09 0.2520 0.12   70   20
